"Paper ID","Citation (Author, Year)","Title","DOI/URL","Geographical variable","Sector / policy domain","Temporal variable","Research design & method","Unit of analysis","Temporal window of observation","Definition of adaptive governance (with page no.)","Primary theoretical framework(s)","Normative stance toward AG","Enablers of AG","Challenges of AG","Evidence of AG in practice","Indicators / operationalizations","Engagement with power & politics","Engagement with equity / justice / legitimacy","Mechanisms of AG","Institutional conditions enabling AG","Institutional conditions constraining AG","Relationship with related concepts","How AG is distinguished from related concepts","Level of governance","Type of evidence supporting AG claims","Key quotation(s) + page no.","Notes / Coding comments"
"117","Lopez Porras et al. (2019)","Corruption and conflicts as barriers to adaptive governance: Water governance in dryland systems in the Rio del Carmen watershed","10.1016/j.scitotenv.2019.01.030","Rio del Carmen watershed, Chihuahua, Mexico","Water governance; Agriculture; Dryland systems","1930–2018; interviews Feb–Apr 2018","SES assessment; stakeholder analysis; 27 interviews; deductive content analysis","Water governance system","1930–2018","Flexible, inclusive and innovative institutions regulating water access and increasing adaptive capacity under uncertainty","Adaptive Water Governance; SES Resilience","Supportive / advocated","Stakeholder engagement; knowledge generation; cross-scale collaboration; subsidiarity","Corruption; violent conflict; groundwater depletion; scale mismatch","Potential behavioural change among Mennonite farming communities","Operationalized via AWG principles/elements: learning, connectivity, collaboration, flexibility, subsidiarity, iterativity (Fig.1 conceptual framework); legal/institutional design principles requiring iterative-flexible governance, legally binding authority/accountability, financial-technical-administrative self-governance powers, connectivity and subsidiarity (p.526-527); Watershed Committee characteristics mapped to each principle","Government corruption and unequal power","Inclusive governance and equitable resource sharing","Iterativity; flexibility; subsidiarity; connectivity; self-governance","National Water Law (1992); Watershed Committees","Centralized agencies; limited resources; water-rights black markets","Linked to SES resilience; adaptive capacity; Water Ecosystem Services","AWG distinguished from centralised, top-down governance (lacking collaboration, learning, legitimacy, fit) and from mere decentralization (which does not by itself solve corruption or improve effectiveness); AWG framed as flexible, inclusive, innovative institutions increasing adaptive capacity under uncertainty, requiring learning, connectivity, collaboration, flexibility and subsidiarity, contrasted with fragmented/centralised regimes; not sharply differentiated from resilience/co-management (treated as closely linked, resilience-enhancing)","Local; State; National","Qualitative interviews and secondary government data","""Adaptive water governance regulates water access through flexible, inclusive and innovative institutions..."" (p.520)","Empirical study of barriers to adaptive water governance"
"118","Dutra et al. (2019)","Governance mapping: A framework for assessing the adaptive capacity of marine resource governance to environmental change","10.1016/j.marpol.2018.12.011","Vanuatu","Marine resource governance; Fisheries","Not reported","Analytical framework development; governance mapping; expert semi-quantitative assessment","Marine governance sub-systems","Not reported","Governance able to anticipate environmental change, strengthen social networks, leadership and trust, promote knowledge and innovation, and minimize impacts","Institutional Analysis and Development; SES Theory; Governance Mapping","Supportive / advocated","Leadership; trust; social networks; knowledge acquisition; decision flexibility","Market incentives; weak enforcement; declining customary authority; expert bias","Dead nakamal areas illustrating contested authority","Governance scores (-2 to +2); actor-interaction-outcome criteria","Power relations and authority allocation","Fair benefit sharing and recognition of customary owners","Information exchange; monitoring; rule revision","Network governance; Fisheries Act recognizing customary ownership","Bureaucratic governance; weak customary authority","Linked to SES; Ecosystem-Based Fisheries Management; vulnerability assessment","Not explicitly distinguished","Community; National; International","Expert appraisal using governance framework","Not reported","Framework paper for governance mapping and adaptive capacity assessment"
"119","Metz et al. (2020)","Policy integration: Do laws or actors integrate issues relevant to flood risk management in Switzerland?","10.1016/j.gloenvcha.2019.101945","Switzerland","Flood risk management; Policy integration","2013–2017","Bipartite network analysis; legislative coding; national online survey; ERGM","Flood policy issues and organizational actors","2013–2017","No explicit definition of adaptive governance is provided; AG is framed as governance structures called for ""in order to buffer the effects of such climate-related extreme events"" and as follows: ""One important aspect of adaptive governance is policy integration (Ansell and Gash 2008, Folke et al. 2005)"" (p.1, Introduction). The paper instead defines integration: ""We define integration as the joint action on policy issues whenever issues exhibit interdependencies"" (p.1).","Policy Integration; Social-Ecological Fit; Network Analysis","Neutral / analytical","Law-based issue integration; actor-based leadership; brokers","Sectoral silos; conflicting beliefs; high transaction costs","Hydraulic Engineering Act integrating engineering and spatial planning","Ochiai similarities; bipartite networks; weighted associations","Specialized agencies and competing policy beliefs","Integrated policies supporting legitimate solutions","Horizontal and vertical policy integration","Integrated legal frameworks mandating coordination","Rigid legal systems; New Public Management specialization","Linked to collaborative governance; polycentric governance; SES fit","Not explicitly distinguished","Cantonal; National","Quantitative network analysis and survey data","""the IPCC and scholars across disciplines call for adaptive governance structures"" (p.1, Introduction); ""One important aspect of adaptive governance is policy integration (Ansell and Gash 2008, Folke et al. 2005)"" (p.1); ""contributing knowledge about adaptive governance capacities in socialecological systems that buffer the effects of climate change"" (Abstract, p.1); ""the academic literature concludes that integrated policy sectors enhance adaptive governance capacities"" (p.1).","Quantitative study of policy integration and adaptive governance"
"120","Yañez Soria et al. (2020)","Governance and policy limitations for sustainable urban land planning. The case of Mexico","10.1016/j.jenvman.2019.109575","Metropolitan Zone of Querétaro, Mexico","Urban land planning; Sustainable development","2009–2018","Case study; regulatory analysis; land-use cartography; 6 interviews","Land-use change process and policy instruments","2009–2018","Open multi-actor networks capable of setting common goals and outcomes","Environmental Discourses; Environmental Policy Integration","Supportive / advocated","Decentralized jurisdictions; multi-actor platforms; leadership","Policy integration deficit; democracy deficit; interdisciplinary deficit; lack of monitoring","67% approval of protected land-use changes despite regulations","Urbanization rates; arable land per capita; spatial land invasion","Private legal interests; fragmented administrative power","Redistribution of land-use benefits; democratic governance","Multi-level and multi-actor coordination; horizontal and vertical integration","LGAHOTDU (2016) supporting regional planning integration","Neoliberal model; institutionalized corruption; lack of metropolitan planning","Linked to urban sprawl; sustainable planning; experimental governance","Not explicitly distinguished","Municipal; State; National","Mixed-methods cartographic and qualitative evidence","""Better outcomes are obtained under adaptive governance arrangements, which are based on open multi-actor networks capable of setting common goals and outcomes"" (p.2); ""land-use changes are approved in a closed environment (contrary to that of adaptive governance structures) with no public or other stakeholders present"" (p.6); ""this paper supports the need to transition to more adaptive or experimental governance structures to overcome the three interrelated deficits"" (p.7)","Mixed-methods study of adaptive urban land governance"
"121","Gan et al. (2019)","Integrating policy, market, and technology for sustainability governance of agriculture-based biofuel and bioeconomic development in the US","10.1186/s13705-019-0223-2","United States","Bioenergy; Agriculture; Biofuels","1949–2018","Systematic review and conceptual framework","Bioenergy policies and sustainability governance","1949–2018","Governance system developed and implemented in response to sustainability concerns through risk monitoring and management","Adaptive Sustainability Governance; Bioeconomy Interconnectivity","Supportive / advocated","Monitoring systems; precision agriculture; CSR; social norms","Limited empirical evidence; technology costs; high monitoring costs","Energy Independence and Security Act (2007) adapting mandates","GHG savings; corn profits; soil and water indicators","Biofuel mandates and political trade-offs","Need for societal trust and legitimacy","Risk monitoring; continuous strategy adjustment; market approaches","Natural resource conservation legislation","Policy-induced unsustainability; certification gaps","Linked to bioeconomy; bioenergy; sustainability governance","Not explicitly distinguished","National; Global","Literature review and data synthesis","""Adaptive sustainability governance seems appropriate..."" (p.18)","Conceptual review of adaptive sustainability governance"
"122","Pereira et al. (2020)","South American Expert Roundtable: Increasing Adaptive Governance Capacity for Coping with Unintended Side Effects of Digital Transformation","10.3390/su12020718","South America (Argentina, Brazil, Uruguay, Colombia, Chile)","Digital transformation; E-governance; Smart cities","2018–2020","Expert Roundtable; qualitative content analysis; cluster analysis; transdisciplinary approach","Thirty-nine propositions on unintended effects of digital transformation","2018–2020","Adaptive governance requires understanding the origins, mechanisms and dynamics of vulnerabilities and unintended effects through transdisciplinary processes","Systems Theory; Vulnerability Management; Transdisciplinarity","Supportive / advocated","Multi-stakeholder dialogue; science-practice collaboration; interdisciplinary processes","Limited governmental capacity; hierarchical organizations; rigid regulations","MitiCo project addressing corruption through transdisciplinary analysis","Corruption Perceptions Index; GINI Index; cluster analysis","Power of global IT monopolies exceeding states","Digital divide; social exclusion; ethical dilemmas","Double-loop learning; expert triangulation; transdisciplinary processes","Regional legal frameworks; brokerage platforms","Weakened governments; information asymmetry with IT companies","Linked to digital transformation; Industry 4.0; Smart cities","Not explicitly distinguished","Local; National; Regional; Global","Expert consensus and exploratory cluster analysis","""Adaptive governance calls for not only identifying vulnerabilities and unseens..."" (p.22)","Conceptual and expert-based study of adaptive governance for digital transformation"
"123","Williams et al. (2020)","The role of collaborative research in learning to incorporate values of the public in social–ecological system governance: Case study of bushfire risk planning","10.5751/ES-11987-250431","Victoria, Australia","Bushfire risk planning; Social–ecological systems governance","2009–2018","Case study; analysis of publications, internal reports, workshop and meeting notes","Three-year collaborative research programme on public values in bushfire governance","2015–2017","Governance arrangements with the capacity to navigate the inherent complexity and uncertainty of social–ecological systems","Multi-loop social learning (single-, double-, and triple-loop learning)","Supportive / advocated","Collaborative research; social learning; trust; participant connectedness; SES disruptions","Technical-scientific dominance; command-and-control paradigms; path dependency; limited social science expertise","Development of the Valuation Framework; shift from community ""education"" to community ""listening""","Changes in policy, organizational structures and routines; evidence of double- and triple-loop learning","Examines tensions between technical and social scientific knowledge and command-and-control approaches","Mentioned - incorporating ""values of the public"" and community participation is central to the study's aim; equity noted as a criterion combined into the Valuation Framework; ""shared responsibility"" and acceptance/legitimacy of governance principles discussed; core values (security, self-direction) linked to acceptance of bushfire governance; concerns that findings could ""raise unrealistic expectations""; justice/legitimacy not treated as a formal theoretical frame","Joint concept development; collaborative reflection; action research; questioning routines; knowledge sharing","Long-term multidisciplinary research programmes; policy transition toward risk-based planning (Safer Together)","Command-and-control paradigms; rigid legislative priorities; standardized risk assessment routines","Linked to social learning; policy transition; Social–Ecological Systems","Adaptive governance is framed as the overarching lens for navigating SES complexity/uncertainty within which social learning operates; learning (single-/double-/triple-loop) is the mechanism through which adaptive governance changes occur; collaborative research is treated as one form of social learning and as an ""interruption"" within SES governance; sensemaking is distinguished as a precursor social process to learning; the paper does not otherwise formally define boundaries between adaptive governance and related terms","State-wide; Regional","Qualitative evidence from collaborative research, workshops and internal documents","""Adaptive governance is closely intertwined with learning..."" (p.7)","Case study of collaborative research supporting adaptive governance"
"124","Marques et al. (2020)","Water Governance in Vale do Paraíba Paulista: Network of Actors and Socioecological Systems","10.1590/1809-4422asoc20190139r1vu2020L2DE","Vale do Paraíba Paulista (São Paulo Macrometropolis), Brazil","Water governance; Water resources management","Post-2013–2015 water crisis","Social Network Analysis; semi-structured interviews; participant observation","Technical Chamber of Forest Restoration and Water Resources (CT-RFRH) within the Paraíba do Sul River Basin Committee","August 2018–March 2019","Governance able to identify and provide opportunities for socioecological transition toward greater resilience","Social–Ecological Systems; Social Network Analysis","Supportive / advocated","Social participation; scientific knowledge dissemination; brokers; institutional flexibility; social learning","Inequalities; short-term decision-making; top-down state action; infrastructure-focused strategies; information asymmetries","Activities of CT-RFRH supporting restoration and conservation strategies","SNA metrics (In-degree, Out-degree, Betweenness)","Examines exercise of power, technocratic dominance and information control","Focuses on reducing inequalities, community emancipation and equitable water access","Knowledge sharing; experiential learning; brokerage; institutional innovation","Flexible institutional arrangements; multi-actor platforms; multi-scalar articulation","Top-down state action; rigid technocracy; centralized information and resource control","Linked to SES resilience; institutional innovation; adaptive management","Not explicitly distinguished","Municipal; State; Macrometropolitan","Mixed-methods evidence using SNA metrics, interviews and observation","""Adaptation... seeks social transformation and emancipation..."" (p.84)","Mixed-methods study of adaptive water governance using social network analysis"
"125","Tuda et al. (2019)","Exploring the prospects for adaptive governance in marine transboundary conservation in East Africa","10.1016/j.marpol.2019.02.051","Southern Kenya–Northern Tanzania border region","Marine transboundary conservation; Fisheries management","2016","Comparative case study; Social Network Analysis; questionnaire; semi-structured interviews","Seventy organizations (resource users, government agencies and NGOs)","April–August 2016","Flexible, learning-based collaborative decision-making involving state and non-state actors across multiple levels to coordinate management of socioecological systems","Adaptive Co-management (antecedents, process and outcomes)","Supportive / advocated","Social proximity; collaboration networks; improved knowledge; polycentric governance structures","Sectoral fragmentation; centralization; weak rule compliance; limited scientific information use; cross-border institutional differences","Beach Management Units (BMUs); Locally Managed Marine Areas (LMMAs)","Network density; path length; diameter; centralization; adaptive capacity indicators; cognitive and relational learning","Examines power-sharing and the effects of centralization on knowledge diversity","Focus on equitable resource governance and trust-building","Collaborative networks; social learning; information exchange; coordinated planning","Participatory legal reforms; co-management arrangements","Centralized governance; rigid governmental control; differing national institutional systems","Linked to adaptive co-management; resilience; transboundary SES","Adaptive co-management is treated as an approach or strategy for achieving/improving the prospects of adaptive governance rather than as identical to it - ""One approach, aimed at improving adaptive governance of complex SESs, is adaptive co-management""; adaptive governance is framed as the broader social context within which sustainable ecosystem management occurs, building on linkages across multiple levels and scales and correlated with resilience; co-management defined more narrowly as community-based, place-tailored resource management working with organizations at different scales; learning must lead to adaptive management practices for a process to be ""truly adaptive""","Local; National; Transboundary","Empirical social network analysis and interview data","""Adaptive governance can be understood as a flexible, learning-based, collaborative, decision-making process, involving both state and non-state actors, often at multiple levels"" (p.75); ""Adaptive governance holds wide appeal conceptually, although there is still relatively little insight into how adaptive governance might play out in transboundary socio-ecological systems, particularly in the developing country contexts"" (p.82, Conclusion); ""For a management process to be interpreted as truly adaptive, rules should be implemented, followed and enforced, which is not the case in Kenya and Tanzania"" (p.81)","Comparative empirical study of adaptive governance in marine transboundary conservation"
"126","Hurlbert & Gupta (2019)","An institutional analysis method for identifying policy instruments facilitating the adaptive governance of drought","10.1016/j.envsci.2018.09.017","Canada (South Saskatchewan River Basin); Chile (Elqui River Basin); Argentina (Mendoza River Basin)","Drought management; Agriculture; Climate change policy","1930s to future climate change scenarios","Institutional analysis framework; mixed-methods interdisciplinary approach; literature review; 41 stakeholder interviews","Governance institutions (rules, norms, laws, policies and practices)","Multi-year research programme","Political, social, economic and administrative systems managing society's resources through collaborative, flexible and learning-based management across scales to promote resilient institutions and social networks","Institutional Analysis Method for Adaptive Governance; Adaptive Capacity Wheel; Earth System Governance framework","Supportive / advocated","Institutional diversity; learning capacity; autonomous change; leadership; resources; fair governance","Institutional failure; rigid governance; weak accountability and transparency; ageing infrastructure; climate scepticism","Crop insurance; farm water infrastructure grants; environmental farm planning; glacier preservation laws","Adaptive Capacity Wheel criteria; impacts on human, social, economic, technological and natural capital","Examines power, science and resource control in policy framing","Addresses fair governance, inclusion and disparities between large and small producers","Adaptive management; adaptive co-management; anticipatory governance; scenario planning","Well-developed governance systems; formal regulatory agreements; statutory protection laws","Fragmented multilevel governance; neoliberal models; privatized water markets","Linked to resilience; complexity theory; adaptive capacity; multi-level governance","Adaptive governance is presented as the overarching theoretical framework linking resilience, ecosystem dynamics and complexity","Global; National; Regional; Local","Mixed qualitative and semi-quantitative evidence from interviews, literature review and Adaptive Capacity Wheel scoring","""Adaptive governance has emerged as a theoretical framework... best responds to the uncertain, systemic, complex, and often contested problem of climate change."" (p.234)","Institutional framework for evaluating adaptive governance of drought"
"128","Ding et al. (2019)","Addressing Uncertainty of Environmental Governance in Environmentally Sensitive Areas in Developing Countries: A Precise-Strike and Spatial-Targeting Adaptive Governance Framework","10.3390/su11164510","China (Water Source Area of the Middle Route Project)","Environmental governance; Ecosystem services","2002–2010","Case study using Ecosystem Services Value assessment and Actor Network Theory","Regional institutional system / Water Source Area","2002–2010","Continuous problem-solving process in which institutional arrangements and ecological knowledge are tested and revised through a dynamic, self-organized process of learning by doing","ESV-based Adaptive Governance Model; Actor Network Theory","Supportive / advocated","Participation; experimentation; collective learning","Goal ambiguity; knowledge uncertainty; asymmetric power; management costs","Adaptive governance applied in the South–North Water Diversion Project Water Source Area","Ecosystem Services Value variation; spatial distribution patterns","Addresses asymmetric power distribution and political actors","Environmental justice; environmental justice for all","Steering and coordination; feedback between ecosystem change and decision-makers","Innovative governance arenas; National Ecological Civilization Experimental Zone","Fragmented hierarchical governance; unsound political regimes","Linked to sustainable development; co-governance; public–private partnerships","Paradigm shift from controlling individual variables to managing whole social–ecological systems","Supra-regional; Regional; Sub-regional","Empirical case study combining quantitative ESV estimation and qualitative institutional analysis","""Adaptive governance is a continuous problem-solving process...""","Empirical adaptive governance framework using ecosystem services indicators"
"129","Molenveld & van Buuren (2019)","Flood Risk and Resilience in the Netherlands: In Search of an Adaptive Governance Approach","10.3390/w11122563","The Netherlands","Flood risk management; Water management","2008–2015","Single case study using Institutional Analysis and Development framework, interviews, focus groups and document analysis","Dutch Delta Programme flood safety policy","2008–2015","Polycentric and loosely structured governance capable of resolving flood-risk issues sustainably","Institutional Analysis and Development (IAD)","Supportive / advocated","Inclusive scope; integrative collaboration; regional dialogue","Path dependency; institutional resistance; inability of existing policy regime to change","Multilayered Safety (MLS) within the Dutch Delta Programme","Seven Rules-in-Use categories (Boundary, Position, Choice, Information, Aggregation, Payoff, Scope)","Examines authority concentration and ""taming"" strategies","Discusses policy effect, impact and policy-making inequalities","Iterative search; regional dialogue; knowledge-intensive search","Regional pilot projects; openness to non-traditional actors","Institutional density; tight rules; sunk infrastructure costs","Linked to resilience; polycentric governance; untaming","Distinguished from ""tame"" governance through recognition of wicked problem complexity","Local; Regional; National","Qualitative interviews, focus groups and participant observation","""Adaptive and polycentric governance systems are able to cope more effectively...""","Empirical case study of adaptive flood governance"
"131","Walch (2019)","Adaptive governance in the developing world: Disaster risk reduction in the State of Odisha, India","10.1080/17565529.2018.1442794","Odisha, India","Disaster risk reduction; Climate change adaptation","1999–2013","Single case study using process tracing and 47 semi-structured interviews","State government and disaster management system","1999–2014","Framework relying on collaboration among diverse stakeholders across multiple scales within multilevel institutions","Adaptive Governance; Resilience Theory","Supportive / advocated","Traumatic shocks; committed political leadership","Limited resources; power dynamics; weak attention to local realities","Institutional reforms preceding Cyclone Phailin (2013)","Polycentric institutions; self-organization; learning; innovation","Examines political leadership and implementation power dynamics","Focus on indigenous women, marginalized populations and trust","Collaboration; flexibility; learning; experimentation","Odisha State Disaster Management Authority; National Disaster Management Act 2005","Weak initial leadership; poor coordination","Linked to adaptive co-management; polycentric governance","Distinguished by embracing uncertainty rather than merely coping with it","Grassroots; District; State; National","Process tracing, interviews and focus groups","""Adaptive governance... embraces uncertainty by focusing on collaboration, flexibility and learning.""","Empirical disaster governance case study"
"132","Jiménez et al. (2020)","Unpacking Water Governance: A Framework for Practitioners","10.3390/w12030827","Global","Water governance (WASH, WRM, Transboundary)","2015–2019 consultation period","Desk review and expert consultations","Concept of water governance","Not reported","Ability to evolve, adapt or transform through interactions among actors within social–ecological systems to reach a desired state","Orders of Outcomes Framework","Supportive / advocated","Social capital; leadership; institutional flexibility; individual capacity","Governance gaps in policy, coordination, funding, information and accountability","Implementation through the WASH Bottleneck Analysis Tool","Eight governance functions and ten governance attributes","Recognizes water scarcity as rooted in power, poverty and inequality","Human rights; inclusiveness; impartiality","Feedback loops; collective learning; staged and tiered processes","Legal frameworks; accountability; enforcement","Weak accountability; information gaps","Linked to good governance; resilience; sustainable development","Distinguished from engineering-driven management through emphasis on social functions","Local; National; Regional; Transboundary","Literature review and stakeholder consensus","""Adaptive governance is the ability to evolve, adapt or transform...""","Conceptual practitioner framework"
"133","Rutherford & Schultz (2019)","Adapting wildland fire governance to climate change in Alaska","10.5751/ES-10810-240127","Alaska, USA","Wildland fire management","1980s–present","Qualitative analysis of 41 semi-structured interviews","Alaska wildland fire governance system","Interview data reflecting managers' current perceptions and anticipated future responses; references decadal changes in fire regimes since the 1980s and projections for the first half of the 21st century; builds on prior work from ~2008-2009 (Chapin et al. 2008; Trainor et al. 2009)","Emergent environmental governance supporting collective action, learning, adaptation and governance evolution","Adaptive Governance; Institutionalization; Institutional Work","Supportive / advocated","Bridging organizations; boundary work; face-to-face interaction","Federal budgeting; prescriptive laws; scale mismatches","Kenai Peninsula All Lands/All Hands group; Alaska Interagency Wildland Fire Management Plan","Networked organizations; bridging organizations; self-organization","Examines entrenched bureaucracies and multi-level authority","Protection of Native allotments and subsistence opportunities","Social learning; collective action; communication","Multilevel networks; multiyear funding","Top-down bureaucracies; rigid budgeting","Linked to adaptive management","Distinguished by emergence of collective action within institutional constraints","Local; State; Federal","Qualitative interviews","""Adaptive governance synthesizes knowledge... in the face of uncertainty and rapid change.""","Empirical wildfire governance study"
"135","Frohlich et al. (2018)","The relationship between adaptive management of social-ecological systems and law: A systematic review","10.5751/ES-10060-230223","Predominantly USA; also Australia, Canada, South Africa and others","Forestry; Water; Biodiversity; Fisheries; Marine/Coastal","2006–2016","Systematic review (PRISMA) and thematic coding of 80 studies","Peer-reviewed literature","2006–2016","Institutional and societal structures facilitating adaptive management","Social–Ecological Systems; Systematic Review","Supportive / advocated","Polycentricity; collaboration; public participation","Power inequalities; hierarchical governments; legal barriers","Synthesis of 80 peer-reviewed studies","Cross-scale interactions; social networks; multiple governance units","Examines political and economic interference","Justice; legitimacy; equity","Feedback loops; staged processes; conditional approvals","Flexible legal frameworks; sunset clauses; review mechanisms","Legal certainty; finality; stationarity","Linked to adaptive management; resilience; polycentricity","Distinguished from centralized command-and-control governance","Local; Bioregional; Higher scales","Systematic review","""Adaptive governance has been perceived as the institutional and societal structures that facilitate adaptive management.""","Systematic review of law and adaptive governance"
"136","Skog et al. (2018)","Building Resilience in Social-Ecological Food Systems in Vermont","10.3390/su10124813","Vermont, USA","Local food systems","2009–2015","Case study using interviews and observations","Farm to Plate network","2015 harvest season","Institutional structure emphasizing social learning and collaboration across scales beyond formal government channels","Social–Ecological Systems; Resilience Theory","Supportive / advocated","Social capital; common identity; trust; safe learning spaces","Marginalization; exclusion; elitism","Vermont Farm to Plate network","Social learning; diversity; self-organization","Examines power sharing and stakeholder relations","Low-income consumers; democratic and social justice","Social learning; partnerships; feedback loops","Working groups; shared vision","Homogeneous stakeholders; commercial values","Linked to resilience; adaptive management; sustainability","Distinguished by functioning outside formal government channels","Local; State","Qualitative interviews and observations","""Adaptive governance... emphasizes social learning by interactions and collaboration across scales.""","Empirical food systems governance study"
"137","Bizikova et al. (2018)","Policy adaptability in practice: Lessons learned in the application of the Adaptive Design and Assessment Policy Tool (ADAPTool)","10.1080/25741292.2018.1436376","Canada","Agriculture; Forestry; Water; Parks and protected areas","2005–2014","Empirical application of ADAPTool with interviews","Twenty-seven provincial public policies","2011–2014","Adaptive governance linked to adaptive policymaking and transition management","Complex Adaptive Systems","Supportive / advocated","Multi-stakeholder deliberation; foresight; social networking","Regulatory inflexibility; differing motivations","ADAPTool implementation across Canadian provinces","Integrated analysis; automatic adjustment; decentralization; formal review","Examines decentralization and power distribution","Equitable access to resources","Automatic policy adjustment; deliberation; feedback loops","Formal review; decentralization","Centralized approvals; limited monitoring support","Linked to resilience; adaptive policy; sustainable development","Policies treated as experiments rather than static instruments","Provincial; Regional; Municipal","Empirical policy tool application and interviews","""New modes of adaptive governance are needed to initiate transition management.""","Empirical adaptive policy assessment study"
"138","Thomalla et al. (2018)","Transforming Development and Disaster Risk","10.3390/su10051458","Global","Disaster risk reduction; Development; Climate adaptation","2005–2015","Literature review","Development–disaster risk relationship","Not reported","Approach promoting iterative, context-specific problem solving responding to new insights","Transformation; Social–Ecological Systems; Equitable Resilience","Supportive / advocated","Polycentric institutions; participation; social learning","Power inequalities; hierarchical governance","Evidence synthesized within Sendai Framework literature","Triple-loop learning; knowledge pooling; polycentric institutions","Challenges existing power relations and vested interests","Equity and social justice central to resilience","Retrospective and prospective learning; experimentation","Cross-sector institutional linkages; self-organizing groups","Institutional silos; locked-in development pathways","Linked to resilience; transformation; sustainable development","Distinguished by catalyzing radical rather than incremental change","Multilevel","Literature synthesis","""Adaptive governance promotes iterative, context-specific problem-solving processes...""","Conceptual synthesis linking adaptive governance and transformation"
"140","Cleaver & Whaley (2018)","Understanding process, power, and meaning in adaptive governance: A critical institutional reading","10.5751/ES-10212-230249","Sweden and Tanzania","Environmental and natural resource governance","2002–2016 case studies","Literature review and comparative critical institutional analysis","Adaptive governance theory and two case studies","Empirical illustrations drawn from secondary sources: Coastal Ring organization emergence around 2002-2004 (Sandstrom 2008); SWAUM pilot project 2011-2016 with 2016 evaluation","Broader social arrangements across scales facilitating adaptive co-management through learning and linkages","Critical Institutionalism; Institutional Bricolage; SES","Critical","Adaptive capacity; flexible institutions; social learning","Normative bias; apolitical social capital; overemphasis on trust","Analysis of Coastal Ring (Sweden) and SWAUM project (Tanzania)","Inclusive dialogue; shadow networks; polycentricity","Strong emphasis on visible and hidden power","Resource access; voice; livelihoods; social justice","Institutional bricolage; social learning; power sharing","Nested cross-scale institutions; enabling legislation","Rigid management; top-down systems","Linked to adaptive management; co-management; resilience","Distinguished by prioritizing resilience over efficiency and management as hypothesis testing","Local to Global","Comparative theoretical synthesis","""Adaptive governance... is understood as the broader social arrangements operating across multiple scales.""","Critical institutional analysis"
"141","Chomba et al. (2019)","A Social Exchange Analysis of Adaptive Governance in Water Allocation Processes, the Kafue Flats, Zambia","10.5334/ijc.900","Kafue Flats, Zambia","Water allocation; Hydropower; Irrigation","1977–present","Longitudinal case study using interviews, workshops and document analysis","Relations among water users","1977–2017","Social conditions enabling interactions through which actors pursue mutually desired water allocation outcomes under uncertainty","Social Exchange Theory; Resilience Theory","Supportive / analytical","Leadership; social capital; learning; non-state actors","Dependence; contested claims; weak legitimacy","Tripartite Agreement; Integrated Water Resources Management project","Trust; leadership; social learning; multilevel governance","Examines social power and infrastructure control","Equitable allocation; empowerment of disadvantaged groups","Dialogue; negotiation; joint decision making","Catchment councils; reference groups","Water Act ambiguity; centralized utilities","Linked to resilience; co-management; polycentric governance","Distinguished by emphasizing social interactions and competing claims","Catchment; Sub-catchment; National","Longitudinal interviews and workshops","""Adaptive governance alludes to the social conditions that enable the range of interactions...""","Longitudinal water allocation governance study"
"142","Schultz et al. (2019)","Policy tools to address scale mismatches: Insights from U.S. forest governance","10.5751/ES-10703-240121","USA","Forest governance; Ecological monitoring","1960s–present","Empirical policy synthesis","Landscape restoration and multilevel monitoring policy tools","Recent policy changes over roughly the past decade+; empirical observations drawn from the authors' cited studies (approx. 2012-2019), spanning implementation of CFLRP (post-2009) and 2012 NFMA monitoring rule implementation (early stages)","Environmental governance allowing emergence of collective action while adapting and evolving","Adaptive Governance; Scale Theory","Supportive / advocated","Boundary work; bridging activities; legal mandates; partnerships","Scale mismatches; bureaucratic rigidity","Collaborative Forest Landscape Restoration Program; Joint Chiefs Landscape Restoration Partnership","Reflexivity; participation; nested institutions; tangible support","Examines bureaucratic dominance and distribution of legitimacy","Participation of marginalized groups","Boundary work; iterative objective refinement","Multiyear funding; legal mandates; collaborative proposals","Annual funding cycles; jurisdictional rigidity; performance measures","Linked to collaborative governance; resilience; adaptive management","Distinguished by collective action and scale flexibility","Local; Regional; National; Forest landscape","Empirical synthesis of policy implementation","""Adaptive governance allows emergence of collective action capable of facilitating adaptation to change...""","Policy synthesis of adaptive forest governance"
